index,latitude,longitude,available_bikes,empty_slots,name,FS Restaurant Distance,Station Distance,yelp_index,yelp_rating,yelp_distance,Bike_Usage
90,25.790084,-80.133186,0,16,000166 - Drexel Ave & Lincoln Rd (MB Community Church),57,0,90,5.0,320.7479356533777,100.0
91,25.790149,-80.134376,1,15,000167 - Pennsylvania Ave & Lincoln Rd (H & M),78,0,91,5.0,247.45101244663005,93.75
92,25.789955,-80.135398,4,8,000168 - Euclid Ave & Lincoln Lane (Oribe Salon),106,0,92,5.0,150.18380715840863,66.67
93,25.791498,-80.136695,0,16,000169 - Meridian Ave & Lincoln Lane (Macy's),50,0,93,5.0,130.82561696218477,100.0
94,25.791154,-80.137748,1,15,000171 - Jefferson Ave & Lincoln Rd (DogBar),81,0,94,5.0,129.21088535716828,93.75
95,25.790727,-80.138923,5,11,000172 - Michigan Ave & Lincoln Rd (The Gap),90,0,95,5.0,213.24793904809596,68.75
96,25.7917516,-80.1400728,0,16,000173 - Lenox Ave & Lincoln Rd (YardHouse),28,0,96,5.0,184.1372742375285,100.0
97,25.79034,-80.142303,3,13,000174 - Lincoln Road & West Ave,23,0,97,5.0,192.7553549656258,81.25
98,25.791421,-80.148155,6,17,000176 - Venetian Causeway & Island Ave (The Standard Hotel,142,0,98,4.5,433.66301014411385,73.91
99,25.793401,-80.1444,11,3,000177 - Purdy Ave & 18th Street (Marina),22,0,99,4.5,110.74562209725252,21.43
100,25.792573,-80.134979,2,14,000178 - 17th Street & Convention Center Dr (City Hall),243,0,100,5.0,311.40866888097423,87.5
101,25.794751,-80.135571,6,11,000179 - 19 St & Convention Center Dr,383,0,101,5.0,105.79540465279072,64.71
102,25.792316,-80.129287,2,12,000181 - 17th Street & Collins Ave,44,0,102,5.0,76.15212893182768,85.71
103,25.794,-80.129013,3,13,000182 - 18th Street & Collins Ave,113,0,103,5.0,186.5938572929661,81.25
104,25.798194,-80.131951,1,15,000183 - Washington Ave & 22 St ( Washington Ct),187,0,104,5.0,109.00383297112444,93.75
105,25.794822,-80.139358,6,10,000184 - 19th Street & Dade Blvd (Publix),255,0,105,5.0,202.22742303262203,62.5
106,25.795501,-80.142951,1,15,000187 - West Ave & 20th Street (Publix on the Bay),88,0,106,4.5,339.1972052682187,93.75
107,25.79523,-80.14138,0,16,000188 - Sunset Dr & 20th Street,244,0,107,5.0,224.9043621169451,100.0
108,25.796314,-80.128517,1,15,000201 - 21st Street & Collins Ave,48,0,108,5.0,128.4186056191525,93.75
109,25.7968314,-80.1274238,3,13,000202 - Miami Beach Dr & 22 Street (In parking Lot),58,0,109,5.0,251.14871156531456,81.25
